City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,marica,-22.9194,-42.8186,297.1,91,100,1.24,BR,1711593065
83,bonga,7.2833,36.2333,289.07,96,97,0.5,ET,1711593587
84,waitangi,-43.9535,-176.5597,286.94,77,100,2.24,NZ,1711593587
85,boyolangu,-8.1181,111.8935,302.13,72,90,2.84,ID,1711593587
86,port lincoln,-34.7333,135.8667,293.05,64,40,5.25,AU,1711593588
87,zaozersk,69.4005,32.4476,260.01,95,90,3.34,RU,1711593588
88,east ballina,-28.8667,153.5833,300.26,59,65,3.93,AU,1711593588
89,kiruna,67.8557,20.2251,266.66,100,100,1.03,SE,1711593588
90,longgang,37.6508,120.3286,280.56,67,30,6.68,CN,1711593588
91,sandnessjoen,66.0217,12.6316,270.44,78,77,5.18,NO,1711593588
92,mhangura,-16.8939,30.1683,289.3,96,63,1.28,ZW,1711593588
93,nova sintra,14.8667,-24.7167,292.43,74,93,3.11,CV,1711593589
94,undurkhaan,47.3194,110.6556,267.1,66,51,5.65,MN,1711593589
95,vegreville,53.5001,-112.0518,277.54,64,100,5.66,CA,1711593470
96,ust-nera,64.5667,143.2,268.22,84,98,2.37,RU,1711593589
97,shahecheng,36.9383,114.5058,290.48,32,0,3.12,CN,1711593589
98,fort mcmurray,56.7268,-111.381,266.92,86,100,4.63,CA,1711593589
99,ust'-ilimsk,58.0006,102.6619,259.51,91,60,0.89,RU,1711593589
100,chibougamau,49.9168,-74.3659,276.94,93,100,4.12,CA,1711593589
101,aripuana,-9.1667,-60.6333,295.4,100,100,1.34,BR,1711593589
102,nallihan,40.1859,31.3518,283.25,75,92,1.78,TR,1711593590
103,ancud,-41.8697,-73.8203,284.7,81,70,0.87,CL,1711593590
104,sinop,41.7711,34.8709,281.92,73,8,5.39,TR,1711593184
105,aykhal,66.0,111.5,253.55,77,88,2.07,RU,1711593590
106,tralee,52.2704,-9.7026,274.6,89,92,3.33,IE,1711593590
107,uturoa,-16.7333,-151.4333,301.54,74,67,7.19,PF,1711593590
108,port mathurin,-19.6833,63.4167,298.85,67,61,7.1,MU,1711593590
109,yeniseysk,58.4497,92.1703,263.68,96,100,1.79,RU,1711593445
110,ushuaia,-54.8,-68.3,281.96,66,75,6.17,AR,1711593438
111,agat village,13.3886,144.6585,304.67,71,20,5.66,GU,1711593591
112,hithadhoo,-0.6,73.0833,301.05,75,61,2.65,MV,1711593591
113,alice springs,-23.7,133.8833,302.16,32,86,5.66,AU,1711593591
114,baiyin,36.5583,104.2081,285.41,28,45,6.0,CN,1711593591
115,buxton,53.2574,-1.9098,278.47,91,98,10.5,GB,1711593591
116,gadzhiyevo,69.2551,33.3362,260.26,96,89,5.2,RU,1711593591
117,beira,-19.8436,34.8389,299.2,89,20,2.57,MZ,1711593591
118,susuman,62.7833,148.1667,260.92,87,99,0.89,RU,1711593591
119,kamaishi,39.2667,141.8833,281.71,61,73,6.48,JP,1711593591
120,westport,41.1415,-73.3579,282.44,88,100,0.45,US,1711593314
121,kapa'a,22.0752,-159.319,299.14,80,75,6.69,US,1711593592
122,suoyarvi,62.0833,32.35,272.62,98,100,2.76,RU,1711593592
123,tougue,11.4667,-11.6,297.27,39,6,1.59,GN,1711593592
124,impfondo,1.6381,18.0667,296.01,85,85,1.15,CG,1711593592
125,sinjai,-5.1241,120.253,303.37,70,100,2.1,ID,1711593592
126,cockburn town,21.4612,-71.1419,296.33,67,0,5.62,TC,1711593297
127,itoman,26.1247,127.6694,297.16,65,75,7.72,JP,1711593592
128,georgetown,5.4112,100.3354,304.12,71,20,2.57,MY,1711593302
129,manokwari,-0.8667,134.0833,301.84,73,97,2.98,ID,1711593482
130,ishim,56.1128,69.4902,277.06,93,100,5.36,RU,1711593593
131,rio grande,-32.035,-52.0986,294.7,81,100,5.86,BR,1711593103
132,burang,30.25,81.1667,272.19,81,75,1.42,CN,1711593593
133,bilibino,68.0546,166.4372,256.06,79,12,0.79,RU,1711593593
134,bechar,31.6167,-2.2167,285.33,17,0,1.54,DZ,1711593593
135,haiku-pauwela,20.9219,-156.3051,299.16,72,40,10.29,US,1711593594
136,tura,25.5198,90.2201,301.13,44,5,0.89,IN,1711593594
137,caleta olivia,-46.4393,-67.5281,287.32,71,15,5.16,AR,1711593594
138,sidney,-33.8679,151.2073,297.77,78,75,6.17,AU,1711593593
139,coahuayana de hidalgo,18.7,-103.6583,292.49,68,0,1.48,MX,1711593594
140,kargasok,59.0556,80.8572,274.24,95,100,1.79,RU,1711593594
141,vila franca do campo,37.7167,-25.4333,283.38,75,99,11.44,PT,1711593594
142,minab,27.1467,57.0801,293.71,70,3,1.16,IR,1711593594
143,zhangjiakou,40.81,114.8794,277.52,12,1,7.75,CN,1711593557
144,villamontes,-21.25,-63.5,295.92,56,0,2.5,BO,1711593595
145,la ronge,55.1001,-105.2842,267.29,42,75,4.12,CA,1711593595
146,kingston,17.997,-76.7936,300.68,77,20,2.57,JM,1711593507
147,visby,57.6409,18.296,280.27,81,82,6.17,SE,1711593595
